1,2,3,4
Age (y),37.2 ± 12.2,41.5 ± 20.5,35.0 ± 9.5
Height (cm),172.3 ± 10.0,183.5 ± 1.0,166.8 ± 5.0
Body mass (kg),68.5 ± 17.5,89.1 ± 7.1,58.2 ± 8.3
Body Mass Index (kg/m2),22.7 ± 3.4,26.5 ± 2.3,20.9 ± 2.0
Body fat (%),21.3 ± 4.6,21.1 ± 7.2,21.4 ± 4.2
Fat-free mass (kg),53.8 ± 13.2,70.1 ± 0.8,45.6 ± 5.0
Fat mass (kg),14.7 ± 5.9,19.07 ± 7.9,12.6 ± 4.2
Max. Oxygen Consumption (mL/kg/min),46.8 ± 6.8,47.2 ± 6.7,46.6 ± 7.9
Max. Oxygen Consumption (L/min),3.2 ± 0.9,4.2 ± 0.5,2.7 ± 0.2
Peak Power Output (W),295.5 ± 73.1,372.5 ± 74.2,257.0 ± 33.7
Peak Power Output (W/kg),4.4 ± 0.7,4.2 ± 1.2,4.5 ± 0.6
Cycling experience (years),6.0 ± 4.3,6.5 ± 4.9,5.8 ± 4.8
Cycling frequency (days/wk),4.5 ± 1.0,4.5 ± 0.7,4.5 ± 1.3
Cycling distance (km/wk),225.3 ± 64.2,217.0 ± 33.9,229.5 ± 80.0
Resting Metabolic Rate (kcals/d),1617.3 ± 314.7,1999.5 ± 68.6,1426.3 ± 132.0